uid,domainID,siteID,namedLocation,collectDate,processedDate,parentSampleID,sampleID,sampleCode,analysisType,fieldSampleVolume,labSampleVolume,domainFilterVolume,adjAshFreeDryMass,plantDryMass,plantSurfaceArea,plantAdjAshFreeDryMass,preservativeType,preservativeVolume,remarks,measuredBy,recordedBy,sampleCondition,ashMassDataQF,dataQF,publicationDate,release
9f18a1f3-d920-4078-80ef-bbe51f772cf3,D05,CRAM,CRAM.AOS.riparian.point.09,2015-07-13T15:45:00Z,2015-07-14T17:00:00Z,CRAM.20150713.EPIXYLON.5,CRAM.20150713.EPIXYLON.5,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233823Z,RELEASE-2024
4573a523-0282-43a6-9e56-44c98d544d08,D05,CRAM,CRAM.AOS.buoy.c0,2015-07-13T15:45:00Z,2015-07-14T17:00:00Z,CRAM.20150713.PHYTOPLANKTON.3,CRAM.20150713.PHYTOPLANKTON.3,NA,taxonomy,4000,1000,NA,NA,NA,NA,NA,Lugol's iodine,20,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233823Z,RELEASE-2024
629335b0-8d56-455a-aed0-eb50a1361004,D05,CRAM,CRAM.AOS.riparian.point.03,2015-07-13T15:45:00Z,2015-07-14T17:00:00Z,CRAM.20150713.EPIXYLON.2,CRAM.20150713.EPIXYLON.2,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233823Z,RELEASE-2024
eb9196e5-38a3-43ac-91d7-de8966ae3a7e,D05,CRAM,CRAM.AOS.riparian.point.05,2015-07-13T15:45:00Z,2015-07-14T17:00:00Z,CRAM.20150713.EPIXYLON.3,CRAM.20150713.EPIXYLON.3,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233823Z,RELEASE-2024
6b4d761c-2950-46f6-9c16-2b216eeba459,D05,CRAM,CRAM.AOS.riparian.point.08,2015-09-14T16:00:00Z,2015-09-15T17:00:00Z,CRAM.20150914.EPIXYLON.8,CRAM.20150914.EPIXYLON.8,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233439Z,RELEASE-2024
9cda0efe-bcb0-4da6-8306-361c824cbaee,D05,CRAM,CRAM.AOS.buoy.c0,2015-09-14T16:00:00Z,2015-09-15T17:00:00Z,CRAM.20150914.PHYTOPLANKTON.3,CRAM.20150914.PHYTOPLANKTON.3,NA,taxonomy,4000,1000,NA,NA,NA,NA,NA,Lugol's iodine,20,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233439Z,RELEASE-2024
3d58b75b-3ec8-4ffa-942f-1ccea30631df,D05,CRAM,CRAM.AOS.riparian.point.02,2015-09-14T16:00:00Z,2015-09-15T17:00:00Z,CRAM.20150914.EPIXYLON.2,CRAM.20150914.EPIXYLON.2,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233439Z,RELEASE-2024
094a86a8-67e3-48b9-9019-c930199cef66,D05,CRAM,CRAM.AOS.riparian.point.08,2015-09-14T16:00:00Z,2015-09-15T17:00:00Z,CRAM.20150914.EPIXYLON.8,CRAM.20150914.EPIXYLON.8,NA,AFDM,125,NA,5,0.002,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233439Z,RELEASE-2024
002c4b9f-7788-4550-b638-1c348add6210,D05,CRAM,CRAM.AOS.riparian.point.04,2015-09-14T16:00:00Z,2015-09-15T17:00:00Z,CRAM.20150914.EPIXYLON.4,CRAM.20150914.EPIXYLON.4,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233439Z,RELEASE-2024
322bb5e4-24fb-4c77-a768-35b2202d0709,D05,CRAM,CRAM.AOS.riparian.point.10,2015-09-14T16:00:00Z,2015-09-15T17:00:00Z,CRAM.20150914.EPIXYLON.10,CRAM.20150914.EPIXYLON.10,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233439Z,RELEASE-2024
1599631f-116e-412a-9ecf-8a2e7183b717,D05,CRAM,CRAM.AOS.riparian.point.06,2015-09-14T16:00:00Z,2015-09-15T17:00:00Z,CRAM.20150914.EPIXYLON.6,CRAM.20150914.EPIXYLON.6,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233439Z,RELEASE-2024
d5bdc0c2-0d2f-49fa-9fa8-6a01044ddd0a,D05,CRAM,CRAM.AOS.riparian.point.10,2015-09-14T16:00:00Z,2015-09-15T17:00:00Z,CRAM.20150914.EPIXYLON.10,CRAM.20150914.EPIXYLON.10,NA,AFDM,125,NA,5,9e-4,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233439Z,RELEASE-2024
25d4b4f6-dbc8-448d-ac90-9567b94a1632,D05,CRAM,CRAM.AOS.riparian.point.04,2015-09-14T16:00:00Z,2015-09-15T17:00:00Z,CRAM.20150914.EPIXYLON.4,CRAM.20150914.EPIXYLON.4,NA,AFDM,125,NA,5,0.0012,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233439Z,RELEASE-2024
e50e395a-88a4-4be3-9560-be56cef1707f,D05,CRAM,CRAM.AOS.riparian.point.02,2015-09-14T16:00:00Z,2015-09-15T17:00:00Z,CRAM.20150914.EPIXYLON.2,CRAM.20150914.EPIXYLON.2,NA,AFDM,125,NA,7.5,0.0018,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233439Z,RELEASE-2024
76360bde-d039-4d77-a119-858cdb3d5e94,D05,CRAM,CRAM.AOS.riparian.point.06,2015-09-14T16:00:00Z,2015-09-15T17:00:00Z,CRAM.20150914.EPIXYLON.6,CRAM.20150914.EPIXYLON.6,NA,AFDM,125,NA,5,0.0021,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233439Z,RELEASE-2024
efb3dda5-07b5-41fc-ab01-56b62c85aaf2,D05,CRAM,CRAM.AOS.buoy.c0,2015-09-14T16:00:00Z,2015-09-15T17:00:00Z,CRAM.20150914.PHYTOPLANKTON.3,CRAM.20150914.PHYTOPLANKTON.3,NA,AFDM,4000,NA,250,7e-4,NA,NA,NA,NA,NA,NA,NA,jhudson@neoninc.org,OK,NA,legacyData,20231226T233439Z,RELEASE-2024
fad777ec-f73f-4a1a-93c4-26917324aed2,D05,CRAM,CRAM.AOS.riparian.point.07,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.7,CRAM.20160426.EPIXYLON.7,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
35f74190-1684-45c3-8278-aa0e83e3d8af,D05,CRAM,CRAM.AOS.riparian.point.05,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.5,CRAM.20160426.EPIXYLON.5,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
c44020c9-2a83-4bea-929a-6dec1e8b8490,D05,CRAM,CRAM.AOS.riparian.point.03,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.3,CRAM.20160426.EPIXYLON.3,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
9ce9dc76-465c-4fa0-bf27-a4abf32c1981,D05,CRAM,CRAM.AOS.buoy.c0,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.PHYTOPLANKTON.3,CRAM.20160426.PHYTOPLANKTON.3,NA,AFDM,5000,NA,300,7e-4,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
4dcee7c0-f9bf-4ce2-ab39-0940be998d3f,D05,CRAM,CRAM.AOS.riparian.point.01,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.1,CRAM.20160426.EPIXYLON.1,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
4239f40b-1fac-4380-9981-2b0fefa9f040,D05,CRAM,CRAM.AOS.riparian.point.09,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.9,CRAM.20160426.EPIXYLON.9,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
5f22ea6b-7d23-478e-a3ab-bfdd0225ed4a,D05,CRAM,CRAM.AOS.buoy.c0,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.PHYTOPLANKTON.3,CRAM.20160426.PHYTOPLANKTON.3,NA,taxonomy,5000,1000,NA,NA,NA,NA,NA,Lugol's iodine,20,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
62191c44-6945-4845-8b55-ed1eef59c2de,D05,CRAM,CRAM.AOS.riparian.point.09,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.9,CRAM.20160426.EPIXYLON.9,NA,AFDM,125,NA,5,0.0052,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
1019246e-b85a-4cd6-958e-7f8ebcc2b46c,D05,CRAM,CRAM.AOS.riparian.point.01,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.1,CRAM.20160426.EPIXYLON.1,NA,AFDM,125,NA,5,0.0082,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
f4808b76-38b0-4364-a4c3-0050784bd103,D05,CRAM,CRAM.AOS.riparian.point.05,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.5,CRAM.20160426.EPIXYLON.5,NA,AFDM,125,NA,5,0.0028,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
a967c975-85c2-4d76-a0ca-aa7998cd27c2,D05,CRAM,CRAM.AOS.riparian.point.03,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.3,CRAM.20160426.EPIXYLON.3,NA,AFDM,125,NA,5,0.0045,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
5e15b293-f5a1-407c-b88b-784ab688e1b8,D05,CRAM,CRAM.AOS.riparian.point.07,2016-04-26T14:45:00Z,2016-04-27T17:00:00Z,CRAM.20160426.EPIXYLON.7,CRAM.20160426.EPIXYLON.7,NA,AFDM,125,NA,5,0.0022,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,legacyData,20231227T010343Z,RELEASE-2024
781cfda4-c94c-4c4e-9668-29bf02fea738,D05,CRAM,CRAM.AOS.littoral1,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.PHYTOPLANKTON.2,CRAM.20160713.PHYTOPLANKTON.2,NA,taxonomy,5000,1000,NA,NA,NA,NA,NA,Lugol's iodine,20,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
7c6a59ff-0e9f-4888-b54b-9926fdde272e,D05,CRAM,CRAM.AOS.riparian.point.08,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.EPIXYLON.8,CRAM.20160713.EPIXYLON.8,NA,AFDM,125,NA,5,0.0014,NA,NA,NA,NA,NA,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
646ca1dc-a805-4800-b841-68ce17313ce6,D05,CRAM,CRAM.AOS.riparian.point.06,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.EPIXYLON.6,CRAM.20160713.EPIXYLON.6,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
1fcfab7f-e238-4534-826f-d9934f6d683d,D05,CRAM,CRAM.AOS.riparian.point.06,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.EPIXYLON.6,CRAM.20160713.EPIXYLON.6,NA,AFDM,125,NA,5,0.0024,NA,NA,NA,NA,NA,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
e57fd334-55fa-4b80-99d2-816651ff93b7,D05,CRAM,CRAM.AOS.riparian.point.04,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.EPIXYLON.4,CRAM.20160713.EPIXYLON.4,NA,AFDM,125,NA,5,0.005,NA,NA,NA,NA,NA,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
820bd4a3-61d8-460e-aa54-511baee269b1,D05,CRAM,CRAM.AOS.riparian.point.02,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.EPIXYLON.2,CRAM.20160713.EPIXYLON.2,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
72e4245d-7ca1-4e6c-b814-cb1bca201cdb,D05,CRAM,CRAM.AOS.riparian.point.02,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.EPIXYLON.2,CRAM.20160713.EPIXYLON.2,NA,AFDM,125,NA,5,0.0016,NA,NA,NA,NA,NA,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
aab1aea2-41ad-47b9-9010-b50d8a4e7024,D05,CRAM,CRAM.AOS.riparian.point.04,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.EPIXYLON.4,CRAM.20160713.EPIXYLON.4,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
b4543c3d-9fb2-4035-9aea-e2de25a8af78,D05,CRAM,CRAM.AOS.riparian.point.10,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.EPIXYLON.10,CRAM.20160713.EPIXYLON.10,NA,AFDM,125,NA,5,0.0021,NA,NA,NA,NA,NA,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
2da19e2c-fb96-49ef-99fa-dc099ed354ca,D05,CRAM,CRAM.AOS.riparian.point.08,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.EPIXYLON.8,CRAM.20160713.EPIXYLON.8,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
2f027310-4ead-498e-818e-f303fdde6a2a,D05,CRAM,CRAM.AOS.littoral1,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.PHYTOPLANKTON.2,CRAM.20160713.PHYTOPLANKTON.2,NA,AFDM,5000,NA,250,6e-4,NA,NA,NA,NA,NA,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
fb65d227-14e9-4fd5-8f8a-d7985a2ddb49,D05,CRAM,CRAM.AOS.littoral2,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.PHYTOPLANKTON.1,CRAM.20160713.PHYTOPLANKTON.1,NA,AFDM,5000,NA,250,5e-4,NA,NA,NA,NA,NA,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
2275a58f-963a-483e-b089-e6e1cc60eddb,D05,CRAM,CRAM.AOS.littoral2,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.PHYTOPLANKTON.1,CRAM.20160713.PHYTOPLANKTON.1,NA,taxonomy,5000,1000,NA,NA,NA,NA,NA,Lugol's iodine,20,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
9cb8907c-0f53-46a7-b8fe-f608e90dff2b,D05,CRAM,CRAM.AOS.riparian.point.10,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.EPIXYLON.10,CRAM.20160713.EPIXYLON.10,NA,taxonomy,125,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
69cb558b-85f4-4575-a705-0dece8ccd10e,D05,CRAM,CRAM.AOS.buoy.c0,2016-07-13T15:45:00Z,2016-07-14T13:00:00Z,CRAM.20160713.PHYTOPLANKTON.3,CRAM.20160713.PHYTOPLANKTON.3,NA,taxonomy,5000,1000,NA,NA,NA,NA,NA,Lugol's iodine,20,NA,kgeiger@field-ops.org,ekrulc@field-ops.org,OK,NA,NA,20231227T014613Z,RELEASE-2024
44d6e747-c4a3-49d3-8434-9e053d6b4e8a,D05,CRAM,CRAM.AOS.riparian.point.09,2016-09-19T15:20:00Z,2016-09-20T17:00:00Z,CRAM.20160919.EPIXYLON.9,CRAM.20160919.EPIXYLON.9,NA,taxonomy,128,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,NA,20231227T013950Z,RELEASE-2024
e5638de1-30a7-495d-b5fa-3113689aa8bd,D05,CRAM,CRAM.AOS.riparian.point.07,2016-09-19T15:20:00Z,2016-09-20T17:00:00Z,CRAM.20160919.EPIXYLON.7,CRAM.20160919.EPIXYLON.7,NA,AFDM,132,NA,5,0.0014,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,NA,20231227T013950Z,RELEASE-2024
9d6c0757-10d6-4b02-b0fd-7b4dce32fef9,D05,CRAM,CRAM.AOS.riparian.point.03,2016-09-19T15:20:00Z,2016-09-20T17:00:00Z,CRAM.20160919.EPIXYLON.3,CRAM.20160919.EPIXYLON.3,NA,taxonomy,174,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,NA,20231227T013950Z,RELEASE-2024
a43b992c-e5c6-407f-86fa-e664bcd207c9,D05,CRAM,CRAM.AOS.buoy.c0,2016-09-19T15:20:00Z,2016-09-20T17:00:00Z,CRAM.20160919.PHYTOPLANKTON.3,CRAM.20160919.PHYTOPLANKTON.3,NA,taxonomy,5000,1000,NA,NA,NA,NA,NA,Lugol's iodine,20,NA,NA,ekrulc@field-ops.org,OK,NA,NA,20231227T013950Z,RELEASE-2024
c900ece1-854c-46f5-8330-2f739cabc9ed,D05,CRAM,CRAM.AOS.riparian.point.09,2016-09-19T15:20:00Z,2016-09-20T17:00:00Z,CRAM.20160919.EPIXYLON.9,CRAM.20160919.EPIXYLON.9,NA,AFDM,128,NA,5,0.0026,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,NA,20231227T013950Z,RELEASE-2024
1ca0b2e7-9e6f-4a37-9fc0-45893acec0c8,D05,CRAM,CRAM.AOS.littoral2,2016-09-19T15:20:00Z,2016-09-20T17:00:00Z,CRAM.20160919.PHYTOPLANKTON.1,CRAM.20160919.PHYTOPLANKTON.1,NA,taxonomy,5000,1000,NA,NA,NA,NA,NA,Lugol's iodine,20,NA,NA,ekrulc@field-ops.org,OK,NA,NA,20231227T013950Z,RELEASE-2024
989378d2-42d1-4ab3-ba94-1200c7cd4409,D05,CRAM,CRAM.AOS.riparian.point.01,2016-09-19T15:20:00Z,2016-09-20T17:00:00Z,CRAM.20160919.EPIXYLON.1,CRAM.20160919.EPIXYLON.1,NA,AFDM,160,NA,6,0.0022,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,NA,20231227T013950Z,RELEASE-2024
7c75c3f2-6fe0-4971-9a4d-bbccb6409d1c,D05,CRAM,CRAM.AOS.riparian.point.01,2016-09-19T15:20:00Z,2016-09-20T17:00:00Z,CRAM.20160919.EPIXYLON.1,CRAM.20160919.EPIXYLON.1,NA,taxonomy,160,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,NA,20231227T013950Z,RELEASE-2024
45d694bb-da78-4b6e-af26-1c428a581753,D05,CRAM,CRAM.AOS.littoral1,2016-09-19T15:20:00Z,2016-09-20T17:00:00Z,CRAM.20160919.PHYTOPLANKTON.2,CRAM.20160919.PHYTOPLANKTON.2,NA,AFDM,5000,NA,300,0,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,NA,20231227T013950Z,RELEASE-2024
d2bda7c0-323b-4215-a7a9-c47f2616d2e1,D05,CRAM,CRAM.AOS.littoral1,2016-09-19T15:20:00Z,2016-09-20T17:00:00Z,CRAM.20160919.PHYTOPLANKTON.2,CRAM.20160919.PHYTOPLANKTON.2,NA,taxonomy,5000,1000,NA,NA,NA,NA,NA,Lugol's iodine,20,NA,NA,ekrulc@field-ops.org,OK,NA,NA,20231227T013950Z,RELEASE-2024
4524e251-fb9b-4b08-a474-a5117eca5f4e,D05,CRAM,CRAM.AOS.buoy.c0,2016-09-19T15:20:00Z,2016-09-20T17:00:00Z,CRAM.20160919.PHYTOPLANKTON.3,CRAM.20160919.PHYTOPLANKTON.3,NA,AFDM,5000,NA,300,0,NA,NA,NA,NA,NA,NA,NA,ekrulc@field-ops.org,OK,NA,NA,20231227T013950Z,RELEASE-2024
f3474651-a78a-432a-97c1-f0a476fbc4b9,D05,CRAM,CRAM.AOS.riparian.point.05,2016-09-19T15:20:00Z,2016-09-20T17:00:00Z,CRAM.20160919.EPIXYLON.5,CRAM.20160919.EPIXYLON.5,NA,taxonomy,130,60,NA,NA,NA,NA,NA,glutaraldehyde,1.2,NA,NA,ekrulc@field-ops.org,OK,NA,NA,20231227T013950Z,RELEASE-2024
